"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
30,5495292.720000014,5408111.420000007,2142250.0,21341701.05531261,30286001.734324273,8944300.679011662,-81912.49806287326,0.090132811162654,0.0002469392086648055,2.732804867402562,0.07515096279041743,3935.2390090596896,67113,210.23999999999307,5267.82700000285
31,5408111.420000007,5229045.909999989,-1637550.0,21354706.63434291,30103009.89576744,8748303.26142453,-169986.25952653587,0.15525082629963632,0.00042534472958804474,2.72721461319096,-0.06511801513698232,3927.189042994982,69239,210.23999999999307,9078.390000003916
32,5229045.909999989,4575677.505000004,6127880.0,21361189.74494685,29445734.293346595,8084544.548399746,-650792.4918169035,0.044020096688466445,0.00012060300462593547,2.714369878994854,0.11123072961116988,3908.6926257525893,71376,185.75999999999786,2574.4180000024444
33,4575677.505000004,5304401.977999992,-1763180.0,21371557.459747806,30170637.54033993,8799080.080592126,735270.9617942935,0.11184025594198393,0.00030641166011502447,2.654341539527998,-0.06782015925351749,3822.2518169203167,73578,220.31999999999698,6545.46300000302
34,5304401.977999992,5369030.247000001,-1262210.0,21385288.275317658,30231346.04298085,8846057.767663192,74439.31821076851,0.16752995801467524,0.000458986186341576,2.7227219331149675,-0.05568970207269131,3920.719583685553,75624,227.5199999999927,9810.096000005255
35,5369030.247000001,5079097.221999998,-36540.0,21399183.29068108,29937483.00084166,8538299.71016058,-279968.02677576896,0.1700494229591258,0.0004658888300250022,2.72968359556805,-0.0025194649444505745,3930.744377617992,77819,221.75999999999698,9964.271000005332
36,5079097.221999998,4962378.694000011,-681910.0,21414808.40211474,29816867.07737849,8402058.675263748,-104990.81202950608,0.2,0.0005479452054794521,2.707191282751107,-0.03624330013977943,3898.355447161594,79986,218.87999999999283,11726.75600000552
37,4962378.694000011,4717502.050999995,-2529460.0,21430429.941665605,29568105.16582305,8137675.224157445,-233140.3720045751,0.2,0.0005479452054794521,2.6987253920964394,-0.08122291598560041,3886.1645646188726,82116,213.11999999999676,11735.37500000562
38,4717502.050999995,4736224.216999991,1750660.0,21442068.957869187,29582973.054710854,8140904.096841667,26506.905091385357,0.13256470738006265,0.00036319097912345934,2.67738279188128,0.06743529261993735,3855.431220309043,84250,216.00000000000534,7783.585000003343
39,4736224.216999991,4087711.5419999994,1087810.0,21450750.71308473,28930601.594742727,7479850.881657995,-643689.704752583,0.08208476899361708,0.00022488977806470433,2.6806904424973284,0.050479938386445565,3860.1942371961527,86369,190.08000000000442,4821.561000003871
