"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
50,2688350.6350000007,2683044.3980000014,-82659744.02982712,21661206.486780856,27406590.3998845,5745383.913103644,5084.904743121937,0.1751789195745562,0.000479942245409743,3.981194896062017,-0.14749935335144468,5732.920650329304,109954,239.10300000000024,10389.451000009889
51,2683044.3980000014,2643078.4179999996,52445168.76483917,21668665.335577477,27360894.285875324,5692228.950297847,-38237.265212554485,0.029121827041518555,7.978582751100974e-05,3.982040865198673,0.14605709253303764,5734.138845886089,112093,240.11900000000006,1724.7099999983752
52,2643078.4179999996,2718882.07,19032023.112991333,21668442.31589,27430982.771779556,5762540.455889557,69865.4662167523,-0.1,-0.00027397260273972606,3.9672036649688946,0.13917155707683193,5712.773277555209,114150,245.51300000000015,-5935.793000006234
53,2718882.07,2715031.3890000028,-40205683.80047989,21676859.089978334,27421378.99348203,5744519.903503697,-1187.0042091910727,0.044857115053821284,0.00012289620562690762,3.997548704936617,-0.1448571150538213,5756.470135108729,116310,249.13999999999973,2660.3040000053156
54,2715031.3890000028,2747465.998000002,-30593780.52941513,21693787.84636473,27448058.85286701,5754271.006502282,43608.6157713756,0.18810057523521861,0.000515344041740325,3.9975933432535014,-0.14324346018139733,5756.534414285042,118527,250.72000000000025,11172.222000010202
55,2747465.998000002,2652297.419999999,69275566.72358704,21702005.989302095,27347115.014266755,5645109.02496466,-92725.69566289103,0.04109077625443375,0.00011257746919022945,4.013311796609679,0.14700979898078487,5779.168987117939,120667,245.75499999999985,2438.974000005682
56,2652297.419999999,2660106.0200000037,-48563558.43636322,21718842.245462447,27349198.453219645,5630356.207757197,18919.695113241673,0.18682511510650504,0.0005118496304287809,3.9770904100917,-0.1457343388520713,5727.010190532048,122795,248.66000000000048,11109.246000010757
57,2660106.0200000037,2710052.2649999987,55546589.457847595,21726988.412864648,27393412.51805976,5666424.1051951125,52360.232242315076,0.04055799526639259,0.00011111779525039065,3.983364204200563,0.14626711984011245,5736.044454048811,124945,254.71100000000015,2410.1230000058827
58,2710052.2649999987,2697204.3019999997,-56877047.5655632,21743882.669927433,27374799.31322312,5630916.643295687,-1718.9477738561109,0.18691097727231298,0.0005120848692392137,4.004877843071922,-0.1463529820059204,5767.024094023568,127130,255.45000000000033,11127.23300001137
59,2697204.3019999997,2695809.9570000046,-16771564.105270386,21761562.583548967,27367642.669312045,5606080.085763078,10523.26971045928,0.2,0.0005479452054794521,4.002900452827807,-0.1376850393898068,5764.176652072041,129263,257.8080000000003,11915.737000011317
60,2695809.9570000046,2713178.1640000017,11875947.701568604,21771341.79196474,27379245.843153067,5607904.051188327,21382.38225679379,0.0673106864819851,0.0001844128396766715,4.0055996273629155,0.1326893135180149,5768.063463402598,131484,261.0580000000002,4011.145000005378
61,2713178.1640000017,2671783.4449999994,-4874346.664901733,21787692.083599277,27332072.456947,5544380.373347722,-30823.09457153082,0.17718791544660437,0.00048544634368932705,4.014287269563688,-0.10987722896461927,5780.573668171711,133641,259.4110000000006,10569.718000012235
62,2671783.4449999994,2669893.186999999,32978387.34608841,21795447.87835222,27324425.98724693,5528978.1088947095,109.32505287509412,0.03348931484583925,9.175154752284726e-05,4.00074431420186,0.14369860060076511,5761.071812450678,135724,261.14800000000025,1994.7229999980395
63,2669893.186999999,2887460.258000002,13695410.604053497,21795239.95732661,27536228.045054384,5740988.087727774,211594.1367818429,-0.1,-0.00027397260273972606,4.001401340767688,0.1349253162687255,5762.017930705471,137865,281.6220000000005,-5969.93900000778
64,2887460.258000002,2666922.0050000036,-72604501.9272728,21803931.74739956,27309813.24173695,5505881.494337387,-217723.01324448362,0.04713347208335536,0.00012913280022837085,4.083802867420725,-0.14713347208335537,5880.676129085844,139993,264.76500000000004,2811.114000006382
65,2666922.0050000036,2701438.4819999994,14762179.207004547,21804387.875443283,27338563.994456436,5534176.119013153,29206.88076320989,-0.08885968792488863,-0.00024345119979421543,4.001750691693682,0.135993160008244,5762.520996038902,142262,268.99999999999994,-5306.393000008198
66,2701438.4819999994,2730399.984000002,-6558451.637168884,21811986.464368332,27361748.36652241,5549761.902154077,30782.96099101985,0.03048268380423763,8.351420220339078e-05,4.015726381024963,-0.11934237172912626,5782.645988675946,144371,274.4970000000006,1815.942999997896
67,2730399.984000002,2760870.086000002,-51734849.21373749,21828333.036634497,27386419.62547199,5558086.588837493,41017.83121574484,0.17645790852640106,0.0004834463247298659,4.028547432852281,-0.14597522472216343,5801.108303307285,146548,279.45300000000015,10545.464000013664
68,2760870.086000002,2747275.4680000027,59954978.37451935,21835940.569121204,27367008.114750143,5531067.545628939,-11803.97823514184,0.029933995604552344,8.201094686178724e-05,4.043363578205518,0.14652391292184871,5822.443552615946,148632,277.88400000000036,1785.088999997795
69,2747275.4680000027,2631430.531999996,-23429526.061466217,21851991.191046167,27245348.710776158,5393357.5197299905,-105608.78204902355,0.17105748893710696,0.00046865065462221086,4.039536086351272,-0.1411234933325546,5816.931964345831,150812,270.164,10233.690000014098
70,2631430.531999996,2682004.589000004,941906.9611167908,21865659.403116073,27290171.453962456,5424512.050846383,58490.95525620459,0.13220338243115476,0.0003622010477565884,3.9959223021074544,0.038854106505952196,5754.128115034734,152949,277.2209999999999,7914.084000008108
71,2682004.589000004,2714061.5140000046,-39723427.175086975,21883428.90558753,27316443.231044218,5433014.325456686,44041.27955322014,0.2,0.0005479452054794521,4.019205909172626,-0.1447475260635089,5787.656509208582,155091,281.1000000000001,11981.846000014011
72,2714061.5140000046,2705162.900000003,73013433.05445862,21892405.51281097,27301738.171282638,5409332.658471666,-5728.452538141515,0.05286199736118355,0.00014482739003063985,4.035304365057382,0.14713800263881646,5810.838285682629,157249,280.3659999999994,3165.769000007028
73,2705162.900000003,2652730.938,-53929031.55572128,21910149.42884137,27243500.513945565,5333351.085104194,-40493.741306673735,0.19898657599776226,0.0005451687013637322,4.03342296487449,-0.1461245786365787,5808.129069419266,159389,278.9070000000001,11935.787000014696
74,2652730.938,2748022.787999999,51218277.84055328,21919113.652360704,27333014.666453585,5413901.014092881,98478.37602735404,0.05307016009707308,0.00014539769889609062,4.015413599988885,0.14591641590068918,5782.195583983995,161613,288.77199999999993,3182.028000007329
75,2748022.787999999,2823100.224999998,24756236.790668488,21919641.1708995,27402248.854764897,5482607.683865398,69761.70685010683,-0.08849467046310086,-0.00024245115195370098,4.055212835222093,0.14156483056017394,5839.506482719814,163796,299.8330000000002,-5311.988000009768
76,2823100.224999998,2740812.682000002,-107033159.86828995,21929094.353158396,27314085.26032974,5384990.9071713425,-78710.41217626305,0.05954944939769591,0.00016314917643204358,4.08376689084246,-0.14804411986079677,5880.6243228131425,165887,293.20100000000053,3572.558000007229
77,2740812.682000002,2716815.4040000015,56964483.88609314,21929721.666257445,27284245.847406544,5354524.181149099,-29212.099824146833,-0.08677528265892775,-0.0002377405004354185,4.054252806121993,0.14632473205662366,5838.12404081567,168053,292.9339999999995,-5210.811000010161
78,2716815.4040000015,2726168.1650000038,-30987871.655899048,21938935.5316929,27287778.81887124,5348843.287178341,12746.836900150403,0.056476263808128535,0.00015472948988528367,4.044932988298724,-0.1432515464670563,5824.703503150163,170177,294.66400000000016,3389.162000007663
79,2726168.1650000038,2727474.790000001,41584475.00149536,21939451.856484123,27283248.919986907,5343797.063502785,-4013.574093109928,-0.08848909537362754,-0.00024243587773596585,4.050328980569839,0.14496535918175607,5832.473732020569,172379,295.2490000000001,-5316.149000010325
80,2727474.790000001,2743196.2130000032,-32960562.129852295,21948596.72050977,27293142.061587032,5344545.341077261,19038.00562577462,0.05516231148974174,0.00015112962051984038,4.050938955051253,-0.14365140686336927,5833.352095273804,174648,298.55200000000076,3311.512000007876
